time_ms,mass_g,time_s,thrust_n
5345.0,-4.702,0.0,0.0
5428.0,-5.777,0.08300000000000018,0.0
5511.0,-6.18,0.16600000000000037,0.0
5593.0,-6.718,0.24800000000000022,0.0
5676.0,-7.076,0.3310000000000004,0.0
5758.0,-7.166,0.41300000000000026,0.0
5841.0,-7.166,0.49600000000000044,0.0
5924.0,-6.583,0.5790000000000006,0.0
6007.0,-5.688,0.6619999999999999,0.0
6089.0,-4.075,0.7440000000000007,0.0
6172.0,-2.777,0.827,0.0
6255.0,-2.06,0.9100000000000001,0.0
6338.0,-1.702,0.9930000000000003,0.0
6421.0,-1.702,1.0760000000000005,0.0
6504.0,-2.642,1.1589999999999998,0.0
6587.0,-3.896,1.242,0.0
6669.0,-5.553,1.3239999999999998,0.0
6752.0,-7.21,1.407,0.0
6835.0,-8.644,1.4900000000000002,0.0
6918.0,-9.674,1.5730000000000004,0.0
7001.0,-10.256,1.6560000000000006,0.0
7084.0,-11.644,1.7389999999999999,0.0
7165.0,-13.122,1.8200000000000003,0.0
7248.0,-14.69,1.9030000000000005,0.0
7331.0,-16.168,1.9860000000000007,0.0
7414.0,-17.198,2.069,0.0
7497.0,-17.959,2.152,0.0
7580.0,-19.392,2.2350000000000003,0.0
7663.0,-21.049,2.3180000000000005,0.0
7745.0,-22.93,2.4000000000000004,0.0
7828.0,-24.632,2.4830000000000005,0.0
7911.0,-25.259,2.566,0.0
7994.0,-25.662,2.649,0.0
8077.0,-26.11,2.732,0.0
8160.0,-26.11,2.8150000000000004,0.0
8242.0,-26.11,2.897000000000001,0.0
8325.0,-26.155,2.9799999999999995,0.0
8408.0,-26.379,3.0629999999999997,0.0
8491.0,-26.468,3.146,0.0
8573.0,-26.334,3.2280000000000006,0.0
8656.0,-26.468,3.311000000000001,0.0
8739.0,-26.782,3.394000000000001,0.0
8821.0,-27.274,3.476,0.0
8904.0,-27.409,3.559,0.0
8987.0,-27.364,3.6420000000000003,0.0
9070.0,-27.453,3.7250000000000005,0.0
9153.0,-26.692,3.8080000000000007,0.0
9236.0,-26.02,3.891000000000001,0.0
9318.0,-25.438,3.973,0.0
9401.0,-24.811,4.056,0.0
9484.0,-24.095,4.139,0.0
9567.0,-23.871,4.222,0.0
9650.0,-23.871,4.305000000000001,0.0
9733.0,-24.542,4.388000000000001,0.0
9816.0,-25.707,4.471000000000001,0.0
9897.0,-27.274,4.5520000000000005,0.0
9980.0,-28.17,4.635000000000001,0.0
10063.0,-28.707,4.718000000000001,0.0
10146.0,-28.797,4.801000000000001,0.0
10229.0,-28.573,4.8839999999999995,0.0
10312.0,-27.991,4.967,0.0
10394.0,-27.364,5.049,0.0
10477.0,-26.065,5.132000000000001,0.0
10560.0,-24.542,5.215000000000001,0.0
10643.0,-23.468,5.298000000000001,0.0
10726.0,-22.034,5.381000000000001,0.0
10809.0,-21.273,5.4639999999999995,0.0
10892.0,-20.512,5.547,0.0
10974.0,-19.437,5.6290000000000004,0.0
11057.0,-18.317,5.712000000000001,0.0
11140.0,-16.705,5.795000000000001,0.0
11223.0,-14.824,5.878000000000001,0.0
11305.0,-13.122,5.96,0.0
11388.0,-11.689,6.043,0.0
11470.0,-10.793,6.125000000000001,0.0
11553.0,-10.301,6.208000000000001,0.0
