time_s,mass_g,thrust_n
0.0,-6.5969999999999995,0.0
0.08265948295593262,-6.92,0.0
0.1653461456298828,-7.058,0.0
0.25113463401794434,-7.0120000000000005,0.0
0.3309459686279297,-6.965999999999999,0.0
0.4144268035888672,-7.473,0.0
0.4964792728424072,-7.75,0.0
0.5790901184082031,-7.75,0.0
0.6657686233520508,-7.888,0.0
0.744575023651123,-8.027,0.0
0.8284139633178711,-8.534,0.0
0.9098544120788574,-8.58,0.0
0.9974269866943359,-8.534,0.0
1.0854897499084473,-8.765,0.0
1.1594715118408203,-9.225999999999999,0.0
1.240684986114502,-9.733,0.0
1.3233363628387451,-9.687,0.0
1.410733938217163,-10.424999999999999,0.0
1.4894459247589111,-10.841,0.0
1.5714976787567139,-11.209999999999999,0.0
1.6541244983673096,-11.994,0.0
1.7386913299560547,-12.87,0.0
1.8195757865905762,-13.838999999999999,0.0
1.9031262397766113,-14.485,0.0
1.985313892364502,-14.991999999999999,0.0
2.067805051803589,-15.546,0.0
2.1526036262512207,-15.731,0.0
2.233208656311035,-16.053,0.0
2.3192174434661865,-16.515,0.0
2.3986072540283203,-17.022000000000002,0.0
2.4812803268432617,-17.53,0.0
2.5665032863616943,-17.668,0.0
2.6474523544311523,-17.668,0.0
2.7341396808624268,-17.622,0.0
2.8120744228363037,-17.207,0.0
2.8966023921966553,-17.207,0.0
2.978835105895996,-17.207,0.0
3.0616626739501953,-17.253,0.0
3.1430017948150635,-17.437,0.0
3.225578546524048,-17.622,0.0
3.3101704120635986,-17.806,0.0
3.3933181762695312,-18.314,0.0
3.473716974258423,-18.729,0.0
3.5564074516296387,-19.098,0.0
3.6434059143066406,-19.928,0.0
3.7218527793884277,-20.39,0.0
3.8070054054260254,-20.482,0.0
3.8871777057647705,-20.666999999999998,0.0
3.969902753829956,-20.759,0.0
4.055534601211548,-20.436,0.0
4.135509729385376,-19.559,0.0
4.218159914016724,-18.914,0.0
4.3007354736328125,-18.083000000000002,0.0
4.387254238128662,-16.422,0.0
4.476278305053711,-15.039,0.0
4.55079197883606,-13.562,0.0
4.631324052810669,-11.902,0.0
4.714169502258301,-10.795,0.0
4.80344295501709,-9.641,0.0
4.889339923858643,-8.765,0.0
4.962261199951172,-8.442,0.0
5.044825553894043,-7.933999999999999,0.0
5.127561807632446,-7.381,0.0
5.212178468704224,-7.427,0.0
5.295611619949341,-7.981,0.0
5.375684976577759,-7.795999999999999,0.0
5.458382844924927,-7.519,0.0
5.54259991645813,-7.381,0.0
5.623865842819214,-7.381,0.0
5.711174726486206,-7.427,0.0
5.789155960083008,-7.427,0.0
5.871851444244385,-7.473,0.0
5.956125736236572,-7.242,0.0
6.037292957305908,-7.427,0.0
6.12440037727356,-7.473,0.0
6.202688217163086,-7.289,0.0
6.285457134246826,-7.103999999999999,0.0
6.370154619216919,-6.872999999999999,0.0
6.452436208724976,-6.55,0.0
6.53345513343811,-5.951,0.0
6.616160869598389,-5.351,0.0
6.700978755950928,-4.335999999999999,0.0
6.7910168170928955,-3.69,0.0
6.867276906967163,-3.4139999999999997,0.0
6.946849346160889,-3.1369999999999996,0.0
7.029445648193359,-2.814,0.0
7.1137402057647705,-2.3529999999999998,0.0
7.194820880889893,-1.891,0.0
7.28220796585083,-1.7069999999999999,0.0
7.36028528213501,-1.7069999999999999,0.0
7.444995403289795,-1.3379999999999996,0.0
7.535308122634888,-1.5679999999999996,0.0
7.610482692718506,-1.5679999999999996,0.0
7.691082715988159,-1.5679999999999996,0.0
7.773859262466431,-1.3379999999999996,0.0
7.8592071533203125,-1.153,0.0
7.939248561859131,-0.8299999999999996,0.0
8.021834135055542,-0.5529999999999999,0.0
8.104636907577515,0.4150000000000005,0.004069759750000005
8.1895751953125,1.4300000000000002,0.014023509500000001
8.272523641586304,2.214,0.0217119231
8.35268521308899,3.0450000000000004,0.029861249250000003
8.435349464416504,3.8750000000000004,0.038000768750000004
8.52103304862976,5.075000000000001,0.04976874875000001
8.603945970535278,6.32,0.061978028000000004
8.683647394180298,8.534,0.0836899511
8.766319513320923,10.333,0.10133211445
8.850939989089966,12.133,0.11898408444999999
8.93179965019226,14.254999999999999,0.13979379575
9.02233099937439,16.008,0.1569848532
9.097124576568604,17.853,0.17507812245
9.179864645004272,19.513,0.19135716145
9.268663883209229,21.451,0.21036244915000002
9.34558629989624,22.743000000000002,0.22303264095000003
9.427988529205322,24.265,0.23795836225
9.510737895965576,26.387,0.25876807355000003
9.594590425491333,28.048000000000002,0.2750569192
9.685846328735352,29.847,0.29269908255
9.76110029220581,31.877000000000002,0.31260658205
9.841524600982666,33.445,0.32798340925
9.92423415184021,34.875,0.34200691875
10.009587526321411,36.444,0.35739355260000005
10.090088367462158,37.32,0.365984178
10.172332286834717,38.243,0.37503571595
10.255021810531616,38.519,0.37774235135
10.33906865119934,39.165,0.38407744725
10.420448541641235,39.165,0.38407744725
10.507964134216309,39.165,0.38407744725
10.585826873779297,38.704,0.3795565816
10.67192816734314,38.335,0.37593792775
10.76095461845398,37.781,0.37050504365
10.837924003601074,37.781,0.37050504365
10.916662216186523,38.058,0.3732214857
10.999349594116211,38.473,0.37729124545
11.087243556976318,39.027,0.38272412955
11.165474891662598,40.272,0.3949334088
11.247458219528198,40.734,0.39946408110000003
11.330205917358398,41.426,0.40625028290000004
11.418175220489502,42.118,0.41303648470000004
11.497487306594849,42.948,0.4211760042
11.578305721282959,44.009,0.43158085985
11.661007165908813,45.439,0.44560436935000003
11.745227575302124,46.777,0.45872566705
11.836356401443481,47.838,0.4691305227
11.911688089370728,48.576,0.4763678304
11.99182653427124,49.222,0.4827029263
12.074645757675171,50.237,0.49265667605
12.159718036651611,51.482,0.5048659553
12.240861654281616,53.189,0.52160590685
12.322650909423828,55.219,0.54151340635
12.40536904335022,56.833,0.55734133945
12.488724946975708,58.217,0.57091374305
12.580456972122192,58.863,0.57724883895
12.654536485671997,59.186,0.5804163869
12.736119985580444,59.463,0.58313282895
12.818979501724243,59.694,0.5853981651
12.903225183486938,59.601,0.58448614665
12.986363887786865,59.509,0.58358393485
13.067015886306763,59.555,0.58403504075
13.149686336517334,59.324,0.5817697046
13.235033750534058,58.955,0.57815105075
13.315078496932983,58.356,0.5722768674
13.401152610778809,57.756,0.5663928774
13.480583667755127,57.11,0.5600577815
13.563165187835693,56.188,0.5510160502
13.648837804794312,55.496,0.5442298484
13.73116397857666,54.711,0.53653162815
13.811309337615967,53.604,0.5256756666
13.893974542617798,52.405,0.51391749325
13.9804208278656,51.205,0.50214951325
14.061082124710083,49.868,0.48903802220000003
14.142074584960938,48.484,0.47546561860000003
14.224808692932129,47.238,0.4632465327
14.310475826263428,46.316,0.4542048014
14.390853881835938,45.393,0.44515326345
14.473323345184326,44.701,0.43836706165
14.55564022064209,43.455,0.42614797574999996
14.640119552612305,42.21,0.41393869650000004
14.721038579940796,41.149,0.40353384085
14.807372093200684,40.134,0.39358009110000003
14.886520624160767,39.996,0.3922267734
14.969894409179688,39.996,0.3922267734
15.060494899749756,40.18,0.394031197
15.13628363609314,40.688,0.3990129752
15.217284679412842,41.287,0.40488715855
15.299951314926147,42.21,0.41393869650000004
15.385924577713013,44.839,0.43972037934999997
15.465896606445312,53.927,0.52884321455
15.548099756240845,75.332,0.7387545578
15.630973815917969,109.469,1.07352416885
15.715379238128662,153.293,1.5032907984500001
15.797382593154907,200.946,1.9706070909
15.879085063934326,241.126,2.3646382879
15.96182656288147,272.034,2.6677422261
16.047070741653442,293.90000000000003,2.8821744350000005
16.12880516052246,304.556,2.9866740974
16.209875106811523,307.97,3.0201540005000003
16.292576789855957,307.97,3.0201540005000003
16.376932621002197,305.663,2.9975300589500002
16.459100008010864,300.497,2.94686890505
16.540710926055908,298.19,2.9242449635
16.62342929840088,298.19,2.9242449635
16.708362102508545,302.711,2.9685808281500004
16.78885006904602,312.35200000000003,3.0631267408000005
16.872041702270508,325.961,3.1965854406500003
16.954257249832153,341.83,3.3522071694999998
17.03897261619568,357.053,3.50149380245
17.12903928756714,370.385,3.63223606025
17.20516872406006,382.195,3.74805259675
17.28505778312683,392.528,3.8493847112000004
17.367915391921997,405.26,3.974242979
17.457253217697144,424.543,4.16334461095
17.538939237594604,445.21,4.3660186465
17.61587691307068,460.571,4.51665859715
17.698608875274658,468.782,4.5971810003
17.784563064575195,472.427,4.632926239550001
17.866167545318604,476.625,4.67409455625
17.94680166244507,482.483,4.73154191195
18.02943181991577,494.201,4.84645623665
18.11531662940979,512.699,5.02785964835
18.194910049438477,533.689,5.23370123185
18.279340982437134,561.275,5.50422747875
18.360257387161255,601.04,5.894188916
18.447679042816162,658.6569999999999,6.459218669049999
18.52568745613098,728.453,7.143683612449999
18.60991334915161,801.6629999999999,7.861628458949999
18.691098928451538,869.0139999999999,8.5221161431
18.774195432662964,919.2969999999999,9.01522392505
18.86469316482544,954.7249999999999,9.362653921249999
18.940584421157837,981.435,9.62458954275
19.02205801010132,1000.81,9.8145933865
19.104799270629883,1011.1899999999999,9.9163864135
19.191236972808838,1016.9559999999999,9.972931557399999
19.272934436798096,1016.9559999999999,9.972931557399999
19.352907419204712,1016.1719999999999,9.965243143799999
19.43560814857483,1003.117,9.83721732805
19.52223801612854,982.035,9.630473532749999
19.60193705558777,947.529,9.29208526785
19.690906524658203,891.111,8.73881368815
19.766255140304565,808.721,7.93084379465
19.85074257850647,687.212,6.7392475598
19.931638956069946,533.596,5.2327892134
20.014559030532837,376.01300000000003,3.6874278864500005
20.097121953964233,236.975,2.32393088375
20.179728031158447,144.52800000000002,1.4173355112000001
20.268176794052124,98.67399999999999,0.9676613821
20.351293087005615,79.714,0.7817272981
20.42775559425354,76.208,0.7473451832
20.510526180267334,75.93199999999999,0.7446385477999999
20.596683025360107,76.347,0.74870830755
20.675864934921265,77.223,0.75729893295
20.762741088867188,78.14599999999999,0.7663504708999999
20.841177940368652,78.976,0.7744899904
20.923826932907104,79.945,0.78399263425
21.009440422058105,81.78999999999999,0.8020859035
21.090477466583252,82.943,0.81339297095
21.17784857749939,84.097,0.82470984505
21.25470280647278,85.15799999999999,0.8351147006999999
21.337436199188232,86.08,0.844156432
