time_ms,mass_g
5345.0,-4.702
5428.0,-5.777
5511.0,-6.18
5593.0,-6.718
5676.0,-7.076
5758.0,-7.166
5841.0,-7.166
5924.0,-6.583
6007.0,-5.688
6089.0,-4.075
6172.0,-2.777
6255.0,-2.06
6338.0,-1.702
6421.0,-1.702
6504.0,-2.642
6587.0,-3.896
6669.0,-5.553
6752.0,-7.21
6835.0,-8.644
6918.0,-9.674
7001.0,-10.256
7084.0,-11.644
7165.0,-13.122
7248.0,-14.69
7331.0,-16.168
7414.0,-17.198
7497.0,-17.959
7580.0,-19.392
7663.0,-21.049
7745.0,-22.93
7828.0,-24.632
7911.0,-25.259
7994.0,-25.662
8077.0,-26.11
8160.0,-26.11
8242.0,-26.11
8325.0,-26.155
8408.0,-26.379
8491.0,-26.468
8573.0,-26.334
8656.0,-26.468
8739.0,-26.782
8821.0,-27.274
8904.0,-27.409
8987.0,-27.364
9070.0,-27.453
9153.0,-26.692
9236.0,-26.02
9318.0,-25.438
9401.0,-24.811
9484.0,-24.095
9567.0,-23.871
9650.0,-23.871
9733.0,-24.542
9816.0,-25.707
9897.0,-27.274
9980.0,-28.17
10063.0,-28.707
10146.0,-28.797
10229.0,-28.573
10312.0,-27.991
10394.0,-27.364
10477.0,-26.065
10560.0,-24.542
10643.0,-23.468
10726.0,-22.034
10809.0,-21.273
10892.0,-20.512
10974.0,-19.437
11057.0,-18.317
11140.0,-16.705
11223.0,-14.824
11305.0,-13.122
11388.0,-11.689
11470.0,-10.793
11553.0,-10.301
11636.0,-9.494
11719.0,-8.867
11802.0,-8.151
11885.0,-7.166
11968.0,-6.225
12050.0,-5.688
12133.0,-5.509
12216.0,-5.509
12299.0,-5.643
12382.0,-5.822
12465.0,-5.912
12547.0,-6.18
12630.0,-6.136
12712.0,-5.733
12795.0,-5.822
12878.0,-6.449
12961.0,-7.524
13043.0,-7.882
13126.0,-8.688
13209.0,-9.091
13292.0,-9.45
13375.0,-9.584
13458.0,-10.345
13541.0,-11.51
13623.0,-12.361
13706.0,-13.077
13789.0,-13.167
13872.0,-13.436
13955.0,-13.615
14038.0,-13.794
14119.0,-14.242
14202.0,-14.869
14285.0,-15.361
14368.0,-16.212
14451.0,-17.377
14534.0,-18.317
14617.0,-19.079
14699.0,-19.482
14782.0,-19.482
14865.0,-19.526
14948.0,-19.885
15031.0,-20.646
15114.0,-21.766
15196.0,-22.661
15279.0,-22.975
15362.0,-23.199
15444.0,-23.244
15527.0,-22.796
15610.0,-22.258
15693.0,-21.139
15775.0,-20.109
15858.0,-18.675
15941.0,-17.287
16024.0,-16.302
16107.0,-15.272
16190.0,-14.152
16272.0,-13.839
16355.0,-13.839
16438.0,-13.704
16521.0,-13.794
16604.0,-14.376
16687.0,-14.69
16770.0,-15.361
16851.0,-16.302
16934.0,-18.004
17017.0,-19.706
17100.0,-21.497
17183.0,-22.841
17266.0,-23.557
17348.0,-24.139
17431.0,-24.363
17514.0,-24.498
17597.0,-24.542
17680.0,-25.035
17763.0,-25.886
17846.0,-26.558
17928.0,-27.319
18011.0,-27.856
18094.0,-28.08
18177.0,-28.394
18259.0,-28.976
18342.0,-29.424
18424.0,-30.141
18507.0,-30.633
18590.0,-30.857
18673.0,-31.529
18756.0,-32.245
18839.0,-32.559
18921.0,-32.828
19004.0,-33.992
19087.0,-34.306
19170.0,-34.574
19253.0,-34.574
19336.0,-34.574
19419.0,-33.276
19501.0,-31.663
19584.0,-29.961
19666.0,-28.215
19749.0,-27.274
19832.0,-26.379
19915.0,-25.035
19997.0,-23.333
20080.0,-21.452
20163.0,-19.661
20246.0,-18.093
20329.0,-17.108
20412.0,-15.854
20495.0,-14.555
20577.0,-13.212
20660.0,-11.689
20743.0,-10.48
20826.0,-8.957
20909.0,-6.897
20992.0,-5.016
21073.0,-2.956
21156.0,-0.582
21239.0,1.612
21322.0,4.165
21405.0,6.583
21488.0,8.375
21571.0,9.718
21653.0,11.644
21736.0,14.107
21819.0,16.929
21902.0,20.109
21985.0,23.064
22068.0,26.11
22150.0,29.155
22233.0,32.335
22316.0,35.201
22398.0,37.306
22481.0,38.963
22564.0,39.725
22646.0,40.217
22729.0,41.113
22812.0,42.098
22895.0,43.621
22978.0,45.681
23061.0,47.607
23144.0,50.384
23226.0,53.474
23309.0,55.892
23392.0,58.221
23475.0,59.609
23558.0,61.087
23641.0,62.879
23723.0,64.58
23805.0,66.596
23888.0,68.029
23971.0,69.328
24054.0,71.433
24137.0,73.538
24220.0,75.553
24302.0,78.24
24385.0,81.554
24468.0,85.63
24551.0,91.228
24634.0,97.722
24717.0,103.992
24799.0,110.844
24882.0,117.741
24965.0,124.503
25048.0,131.624
25131.0,139.103
25213.0,146.717
25296.0,154.42
25378.0,162.257
25461.0,169.692
25544.0,176.544
25627.0,183.262
25710.0,189.845
25793.0,196.384
25875.0,202.878
25958.0,208.879
26041.0,213.76
26124.0,217.97
26207.0,221.24
26290.0,224.061
26373.0,226.748
26455.0,228.719
26537.0,230.107
26620.0,230.958
26703.0,231.719
26786.0,232.525
26869.0,233.466
26951.0,234.406
27034.0,236.601
27117.0,238.93
27200.0,241.214
27283.0,243.408
27366.0,245.11
27449.0,246.364
27531.0,247.349
27614.0,248.2
27697.0,249.051
27780.0,250.305
27863.0,252.992
27945.0,256.71
28027.0,261.009
28110.0,265.667
28193.0,270.279
28276.0,274.668
28359.0,278.789
28442.0,283.222
28524.0,287.477
28607.0,291.463
28690.0,295.673
28773.0,300.644
28856.0,306.914
28939.0,314.035
29022.0,321.38
29104.0,327.784
29187.0,333.427
29270.0,338.756
29352.0,343.862
29435.0,349.057
29518.0,352.864
29600.0,355.596
29683.0,357.745
29766.0,358.865
29849.0,360.656
29932.0,362.537
30015.0,364.418
30098.0,367.285
30180.0,369.972
30263.0,373.196
30346.0,377.182
30429.0,380.72
30512.0,384.258
30595.0,387.662
30676.0,390.125
30759.0,392.499
30842.0,394.559
30925.0,395.858
31008.0,398.097
31091.0,400.157
31173.0,402.351
31256.0,405.397
31339.0,408.308
31422.0,411.398
31505.0,414.667
31588.0,417.937
31671.0,420.982
31753.0,423.624
31836.0,426.401
31919.0,429.312
32002.0,432.716
32084.0,437.105
32167.0,441.673
32249.0,445.838
32332.0,449.6
32415.0,453.496
32498.0,457.527
32581.0,462.05
32664.0,467.38
32746.0,472.978
32829.0,478.89
32912.0,485.025
32995.0,491.206
33078.0,497.52
33161.0,503.074
33244.0,508.448
33326.0,513.733
33409.0,519.152
33491.0,525.287
33574.0,531.736
33657.0,538.141
33740.0,543.112
33822.0,547.232
33905.0,549.83
33988.0,550.86
34071.0,551.531
34154.0,551.755
34237.0,551.89
34319.0,552.158
34402.0,552.875
34485.0,554.129
34568.0,555.652
34651.0,557.577
34734.0,559.727
34817.0,562.235
34898.0,564.743
34981.0,567.206
35064.0,569.49
35147.0,571.953
35230.0,574.417
35313.0,576.522
35395.0,578.895
35478.0,580.418
35561.0,581.224
35644.0,581.403
35727.0,581.538
35810.0,581.403
35892.0,581.135
35975.0,581.135
36058.0,581.135
36141.0,582.299
36224.0,584.225
36306.0,586.15
36388.0,588.614
36471.0,591.122
36554.0,593.003
36637.0,595.6
36720.0,599.317
36803.0,603.841
36886.0,608.991
36968.0,614.41
37051.0,618.799
37134.0,622.83
37217.0,626.816
37300.0,630.488
37383.0,634.698
37465.0,638.415
37548.0,641.55
37630.0,644.103
37713.0,646.566
37796.0,649.432
37879.0,653.328
37961.0,657.673
38044.0,661.479
38127.0,664.032
38210.0,665.331
38293.0,666.047
38376.0,666.406
38459.0,667.167
38541.0,668.555
38624.0,670.302
38707.0,672.317
38790.0,674.243
38873.0,676.079
38956.0,678.05
39037.0,679.573
39120.0,681.185
39203.0,682.708
39286.0,684.813
39369.0,687.589
39452.0,689.784
39534.0,691.486
39617.0,697.263
39700.0,722.298
39783.0,766.77
39866.0,815.183
39949.0,858.893
40031.0,883.436
40114.0,888.72
40197.0,890.243
40280.0,891.766
40363.0,892.661
40445.0,893.781
40528.0,894.945
40610.0,895.796
40693.0,896.289
40776.0,896.289
40859.0,896.289
40942.0,895.528
41025.0,894.677
41107.0,893.736
41190.0,892.617
41273.0,892.617
41356.0,893.96
41439.0,893.423
41522.0,888.765
41604.0,855.176
41687.0,809.629
41769.0,762.381
41852.0,721.984
41935.0,710.43
42018.0,710.43
42100.0,710.878
42183.0,710.878
42266.0,711.37
42349.0,711.46
42432.0,711.729
42515.0,711.863
42598.0,712.579
42680.0,712.579
42763.0,711.997
42846.0,711.102
42929.0,710.251
43012.0,708.952
43095.0,707.564
43176.0,706.802
43259.0,705.951
43342.0,704.787
43425.0,704.025
43508.0,703.264
43591.0,702.503
