time_ms,mass_g
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
194921.0,5219.983
195004.0,5220.574
