time_ms,mass_g
5344.0,-16.615
5427.0,-17.332
5510.0,-17.825
5593.0,-18.048
5675.0,-18.631
5757.0,-19.661
5840.0,-20.915
5923.0,-22.572
6006.0,-23.781
6089.0,-24.766
6172.0,-25.841
6254.0,-26.334
6337.0,-27.543
6420.0,-28.304
6503.0,-28.483
6586.0,-28.528
6669.0,-29.021
6752.0,-29.379
6834.0,-29.603
6917.0,-30.947
7000.0,-32.962
7083.0,-34.529
7165.0,-35.47
7248.0,-36.59
7330.0,-37.62
7413.0,-38.874
7496.0,-40.217
7579.0,-40.979
7662.0,-42.456
7745.0,-44.293
7828.0,-46.174
7910.0,-48.726
7993.0,-51.145
8076.0,-53.115
8159.0,-53.115
8242.0,-51.861
8325.0,0.985
8408.0,156.346
8489.0,433.701
8572.0,842.367
8655.0,1326.631
8738.0,1835.482
8821.0,2337.347
8904.0,2806.473
8987.0,3223.783
9069.0,3565.764
9152.0,3841.238
9235.0,4073.54
9318.0,4276.193
9401.0,4482.385
9484.0,4714.104
9567.0,4983.13
9649.0,5325.334
9732.0,5735.255
9815.0,6180.152
9897.0,6645.024
9980.0,7120.734
10063.0,7598.997
10145.0,8124.776
10228.0,8713.883
10311.0,9347.865
10394.0,10109.484
10477.0,10972.542
10560.0,11806.266
10643.0,12645.364
10725.0,13399.101
10808.0,14010.376
10891.0,14643.059
10974.0,15191.5
11057.0,15631.336
11140.0,16050.348
11223.0,16384.132
11304.0,16762.39
11387.0,17167.337
11470.0,17499.019
11553.0,17598.576
11636.0,17598.576
11719.0,17419.705
11802.0,17022.099
11884.0,16360.487
11967.0,15568.637
12050.0,14626.085
12133.0,13592.932
12216.0,12573.573
12299.0,11646.651
12382.0,10841.679
12464.0,10077.373
12547.0,9385.842
12630.0,8789.929
12712.0,8304.008
12795.0,7939.768
12878.0,7620.717
12960.0,7274.572
13043.0,6888.253
13126.0,6455.985
13209.0,6035.63
13292.0,5639.638
13375.0,5230.435
13458.0,4807.571
13540.0,4377.901
13623.0,3931.75
13706.0,3482.552
13789.0,3053.599
13872.0,2661.458
13955.0,2342.318
14038.0,2107.105
14119.0,1946.953
14202.0,1836.064
14285.0,1749.539
14368.0,1676.136
14451.0,1613.75
14534.0,1564.979
14617.0,1525.12
14699.0,1491.352
14782.0,1451.134
14865.0,1395.511
14948.0,1319.555
15031.0,1221.386
15114.0,1113.722
15197.0,1010.044
15279.0,892.661
15362.0,760.141
15444.0,600.661
15527.0,396.305
15610.0,192.667
15693.0,28.573
15775.0,-77.255
15858.0,-121.01
15941.0,-130.146
16024.0,-130.146
16107.0,-129.609
16190.0,-129.116
16273.0,-129.654
16355.0,-129.833
16438.0,-129.206
16521.0,-129.34
16604.0,-129.34
16687.0,-129.027
16770.0,-128.4
16852.0,-128.355
16934.0,-128.265
