time_ms,mass_g
5344.0,-31.798
5427.0,-33.186
5510.0,-35.067
5593.0,-37.172
5676.0,-40.486
5757.0,-43.934
5840.0,-47.114
5923.0,-50.652
6006.0,-53.787
6089.0,-56.877
6172.0,-60.012
6254.0,-63.237
6337.0,-65.655
6420.0,-68.029
6503.0,-70.134
6586.0,-71.925
6669.0,-73.985
6751.0,-75.732
6834.0,-77.613
6917.0,-79.27
7000.0,-81.285
7083.0,-83.614
7165.0,-85.988
7247.0,-88.541
7330.0,-90.511
7413.0,-92.482
7496.0,-94.587
7579.0,-96.826
7662.0,-99.513
7745.0,-102.155
7827.0,-104.798
7910.0,-107.306
7993.0,-109.097
8076.0,-110.575
8159.0,-111.65
8242.0,-113.083
8324.0,-115.009
8407.0,-116.935
8489.0,-119.308
8572.0,-121.1
8655.0,-122.533
8738.0,-124.279
8820.0,-125.309
8903.0,-127.504
8986.0,-130.101
9069.0,-132.43
9152.0,-134.938
9235.0,-136.954
9317.0,-139.641
9400.0,-142.82
9483.0,-146.403
9566.0,-149.314
9649.0,-151.598
9732.0,-154.151
9814.0,-156.435
9896.0,-158.719
9979.0,-160.6
10062.0,-162.392
10145.0,-164.317
10228.0,-166.109
10310.0,-167.945
10393.0,-169.109
10476.0,-169.871
10559.0,-170.632
10642.0,-171.035
10725.0,-171.931
10808.0,-173.274
10890.0,-174.752
10973.0,-176.186
11056.0,-177.35
11139.0,-178.514
11222.0,-179.992
11304.0,-181.381
11386.0,-182.545
11469.0,-183.441
11552.0,-184.471
11635.0,-185.725
11718.0,-187.292
11801.0,-189.845
11883.0,-192.084
11966.0,-194.548
12049.0,-196.876
12132.0,-199.116
12215.0,-201.041
12298.0,-202.564
12380.0,-203.908
12463.0,-204.579
12546.0,-205.206
12628.0,-205.654
12711.0,-206.057
12794.0,-206.684
12876.0,-207.535
12959.0,-208.565
13042.0,-210.178
13125.0,-211.163
13208.0,-212.014
13291.0,-212.954
13374.0,-214.074
13456.0,-215.597
13539.0,-217.298
13622.0,-218.776
13705.0,-219.672
13788.0,-220.12
13871.0,-220.702
13953.0,-221.463
14035.0,-222.673
14118.0,-224.33
14201.0,-225.808
14284.0,-227.33
14367.0,-228.808
14449.0,-229.928
14532.0,-231.361
14615.0,-232.57
14698.0,-233.556
14781.0,-234.451
14864.0,-234.451
14946.0,-234.72
15029.0,-235.123
15112.0,-235.123
15195.0,-236.064
15278.0,-237.407
15361.0,-238.795
15442.0,-240.632
15525.0,-242.244
15608.0,-243.677
15691.0,-245.379
15774.0,-246.722
15857.0,-248.2
15939.0,-250.037
16022.0,-251.649
16105.0,-253.306
16188.0,-255.232
16271.0,-256.575
16354.0,-257.784
16436.0,-258.635
16519.0,-259.173
16602.0,-260.024
16685.0,-260.964
16768.0,-261.994
16850.0,-262.711
16932.0,-263.562
17015.0,-264.637
17098.0,-266.114
17181.0,-267.592
17264.0,-268.802
17347.0,-269.249
17429.0,-269.563
17512.0,-269.832
17595.0,-270.503
