time_ms,mass_g
4099.0,272049.875
4182.0,181362.968
4263.0,90674.46
4346.0,-14.266
4429.0,-16.471
4512.0,-18.589
4594.0,-19.584
4677.0,-20.708
4760.0,-21.615
4843.0,-23.474
4925.0,-25.117
5008.0,-26.371
5091.0,-27.365
5174.0,-27.927
5256.0,-28.705
5339.0,-29.613
5422.0,-30.175
5505.0,-30.651
5587.0,-31.645
5669.0,-32.25
5752.0,-32.855
5835.0,-32.639
5918.0,-32.639
6000.0,-31.04
6083.0,5.706
6166.0,131.551
6249.0,424.829
6331.0,913.553
6414.0,1592.882
6497.0,2395.765
6580.0,3185.333
6662.0,3869.114
6745.0,4384.469
6828.0,4706.582
6910.0,4879.937
6992.0,4965.491
7075.0,4995.623
7158.0,5006.819
7241.0,5012.482
7323.0,5014.73
7406.0,5015.422
7489.0,5015.465
7572.0,5016.201
7654.0,5016.979
7737.0,5017.757
7820.0,5018.751
7903.0,5019.918
7985.0,5020.783
8068.0,5021.042
8151.0,5021.475
8233.0,5022.469
8316.0,5023.161
8398.0,5023.031
8481.0,5023.853
8564.0,5024.803
8647.0,5025.409
8729.0,5026.316
8812.0,5027.916
8895.0,5029.905
8978.0,5032.196
9060.0,5034.271
9143.0,5036.043
9226.0,5040.929
9309.0,5042.053
9391.0,5046.592
9474.0,5051.866
9556.0,5055.627
9639.0,5054.503
9721.0,5056.448
9804.0,5059.388
9887.0,5059.388
9970.0,5055.281
10052.0,4990.824
10135.0,4826.115
10218.0,4563.401
10301.0,4223.218
10384.0,3880.614
10466.0,3593.258
10549.0,3363.011
10632.0,3183.863
10715.0,3038.65
10797.0,2923.873
10880.0,2848.781
10962.0,2810.478
11045.0,2810.478
11127.0,2827.079
11210.0,2907.791
11293.0,3048.118
11376.0,3233.924
11458.0,3449.516
11541.0,3676.91
11624.0,3885.499
11707.0,4101.177
11789.0,4337.736
11872.0,4587.308
11955.0,4863.466
12038.0,5147.233
12121.0,5406.877
12203.0,5633.666
12285.0,5830.625
12368.0,5994.341
12451.0,6142.32
12533.0,6299.723
12616.0,6463.438
12699.0,6627.456
12782.0,6773.23
12864.0,6871.753
12947.0,6942.393
13030.0,7018.349
13113.0,7108.312
13195.0,7221.102
13278.0,7341.326
13361.0,7438.336
13444.0,7516.843
13526.0,7579.182
13608.0,7625.223
13691.0,7668.194
13774.0,7718.688
13857.0,7787.425
13939.0,7888.326
14022.0,8046.68
14105.0,8254.88
14188.0,8511.974
14270.0,8825.83
14353.0,9149.888
14436.0,9467.289
14519.0,9740.291
14601.0,9928.172
14684.0,10036.984
14767.0,10084.192
14850.0,10106.715
14931.0,10116.356
15014.0,10114.324
15097.0,10090.158
15180.0,9981.951
15262.0,9721.572
15345.0,9241.191
15428.0,8545.694
15511.0,7759.584
15593.0,7002.094
15676.0,6360.419
15759.0,5880.817
15842.0,5490.486
15925.0,5122.98
16007.0,4773.416
16090.0,4446.461
16173.0,4150.763
16256.0,3892.243
16337.0,3673.149
16420.0,3475.671
16503.0,3284.417
16586.0,3091.435
16668.0,2894.822
16751.0,2692.415
16834.0,2497.747
16917.0,2351.713
16999.0,2252.628
17082.0,2172.694
17165.0,2107.199
17248.0,2026.531
17330.0,1935.227
17413.0,1870.77
17496.0,1830.219
17579.0,1801.341
17660.0,1787.464
17743.0,1770.215
17826.0,1741.25
17909.0,1713.929
17992.0,1679.647
18074.0,1633.26
18157.0,1586.96
18240.0,1527.301
18323.0,1447.195
18405.0,1364.71
18488.0,1282.096
18571.0,1212.062
18654.0,1161.223
18736.0,1115.83
18819.0,1075.453
18902.0,1023.23
18984.0,936.336
19066.0,834.484
19149.0,703.711
19232.0,564.162
19315.0,432.567
19397.0,297.298
19480.0,192.55
19563.0,114.0
19646.0,70.25
19729.0,59.14
19811.0,55.076
19894.0,54.168
19977.0,53.174
20060.0,52.266
20142.0,51.574
20225.0,50.926
20307.0,50.321
20390.0,49.543
20472.0,48.591
20555.0,47.943
20638.0,46.862
20721.0,46.171
20803.0,44.83
20886.0,44.009
20969.0,42.712
21052.0,41.761
21135.0,41.761
21217.0,42.107
21300.0,42.842
21383.0,43.75
21466.0,44.96
21548.0,45.695
21630.0,46.43
21713.0,47.813
21796.0,48.721
21878.0,49.499
21961.0,50.191
22044.0,51.099
22127.0,52.223
22209.0,53.909
22292.0,56.07
22375.0,58.362
22458.0,60.783
22540.0,62.728
22623.0,64.717
22706.0,66.1
22789.0,67.137
22872.0,68.996
22953.0,71.374
