time_s,ax,ay,az,gx,gy,gz,temperature_c,pressure_hpa,altitude_m
0.21823477745056152,-2788.0,80.0,14348.0,-49.0,-266.0,-164.0,22.4,881.44,1160.17
0.4168388843536377,-2708.0,92.0,14408.0,-70.0,118.0,-174.0,22.4,881.46,1160.01
0.6221072673797607,-2860.0,-76.0,14448.0,-74.0,118.0,-157.0,22.41,881.46,1160.02
0.8232681751251221,-2676.0,68.0,14504.0,-51.0,121.0,-184.0,22.41,881.46,1160.02
1.03873610496521,-2816.0,-28.0,14536.0,-43.0,140.0,-176.0,22.41,881.44,1160.21
1.2399623394012451,-2692.0,-52.0,14480.0,-70.0,111.0,-177.0,22.41,881.45,1160.13
1.4552581310272217,-2792.0,-88.0,14556.0,-66.0,122.0,-172.0,22.41,881.46,1160.02
1.653010368347168,-2780.0,28.0,14400.0,-57.0,130.0,-185.0,22.41,881.42,1160.38
1.8660800457000732,-2756.0,132.0,14292.0,-65.0,122.0,-187.0,22.41,881.44,1160.21
2.0646321773529053,-2792.0,-80.0,14536.0,-55.0,127.0,-170.0,22.41,881.45,1160.07
2.296705484390259,-2776.0,-16.0,14500.0,-50.0,126.0,-188.0,22.41,881.45,1160.09
2.4905028343200684,-2732.0,-60.0,14416.0,-49.0,133.0,-169.0,22.41,881.46,1160.05
2.697457790374756,-2900.0,-88.0,14548.0,-38.0,107.0,-179.0,22.41,881.44,1160.17
2.903188467025757,-2696.0,-56.0,14532.0,-53.0,135.0,-157.0,22.41,881.46,1160.12
3.0972394943237305,-2704.0,8.0,14552.0,-63.0,107.0,-161.0,22.42,881.46,1160.04
3.3136825561523438,-2748.0,-52.0,14500.0,-51.0,121.0,-172.0,22.42,881.47,1159.95
3.5125112533569336,-2812.0,20.0,14664.0,-43.0,136.0,-184.0,22.42,881.46,1159.98
3.743983507156372,-2752.0,-116.0,14488.0,-35.0,139.0,-180.0,22.42,881.46,1160.05
3.9255876541137695,-2848.0,-108.0,14552.0,-52.0,120.0,-182.0,22.42,881.44,1160.2
4.1597044467926025,-2800.0,40.0,14624.0,-57.0,90.0,-167.0,22.42,881.48,1159.81
4.3580238819122314,-2704.0,-120.0,14444.0,-58.0,125.0,-151.0,22.42,881.48,1159.86
