time_s,ax,ay,az,gx,gy,gz,temperature_c,pressure_hpa,altitude_m
0.0002536773681640625,-3124.0,-108.0,14204.0,-45.0,154.0,-169.0,24.46,881.21,1162.35
0.21429967880249023,-3240.0,-144.0,14184.0,-61.0,140.0,-173.0,24.46,881.18,1162.66
0.4187905788421631,-3160.0,-24.0,14312.0,-71.0,130.0,-185.0,24.46,881.2,1162.46
0.6254501342773438,-3116.0,-132.0,14444.0,-37.0,136.0,-193.0,24.45,881.18,1162.65
0.8591804504394531,-3140.0,-92.0,14316.0,-42.0,152.0,-172.0,24.45,881.18,1162.62
1.0422849655151367,-3128.0,-208.0,14164.0,-52.0,138.0,-169.0,24.45,881.17,1162.74
1.259209394454956,-3292.0,-48.0,14256.0,-42.0,142.0,-158.0,24.46,881.17,1162.72
1.4594073295593262,-3164.0,-68.0,14400.0,-66.0,160.0,-156.0,24.46,881.18,1162.66
1.6612401008605957,-3136.0,-100.0,14264.0,-69.0,152.0,-171.0,24.46,881.17,1162.69
1.8798623085021973,-3216.0,-88.0,14236.0,-61.0,156.0,-155.0,24.46,881.18,1162.58
2.0827131271362305,-3220.0,-96.0,14372.0,-35.0,134.0,-156.0,24.46,881.2,1162.46
2.286113977432251,-3268.0,48.0,14532.0,-72.0,148.0,-188.0,24.45,881.16,1162.8
2.4904632568359375,-3140.0,-152.0,14272.0,-70.0,151.0,-178.0,24.46,881.17,1162.75
2.7095425128936768,-3184.0,-68.0,14376.0,-41.0,169.0,-157.0,24.45,881.16,1162.77
2.910590171813965,-3212.0,-32.0,14284.0,-51.0,158.0,-179.0,24.45,881.19,1162.49
3.111799955368042,-3216.0,-132.0,14416.0,-41.0,144.0,-170.0,24.46,881.18,1162.6
3.331169605255127,-3232.0,-108.0,14216.0,-69.0,147.0,-182.0,24.46,881.18,1162.61
3.534006357192993,-3280.0,-148.0,14312.0,-53.0,160.0,-159.0,24.46,881.19,1162.55
3.7358908653259277,-3228.0,-72.0,14368.0,-69.0,143.0,-154.0,24.46,881.17,1162.74
3.9530389308929443,-3204.0,-16.0,14348.0,-57.0,138.0,-178.0,24.46,881.17,1162.72
4.170060634613037,-3184.0,-60.0,14164.0,-53.0,159.0,-186.0,24.46,881.17,1162.68
4.38678240776062,-3116.0,-56.0,14132.0,-51.0,132.0,-162.0,24.46,881.18,1162.63
4.589123249053955,-3216.0,24.0,14280.0,-47.0,130.0,-180.0,24.46,881.17,1162.72
4.788814067840576,-3156.0,-156.0,14144.0,-49.0,152.0,-168.0,24.45,881.18,1162.59
4.988361835479736,-3200.0,-36.0,14248.0,-47.0,146.0,-177.0,24.46,881.19,1162.57
5.186286449432373,-3172.0,28.0,14332.0,-39.0,154.0,-176.0,24.45,881.15,1162.88
5.401924133300781,-3184.0,-44.0,14340.0,-60.0,135.0,-183.0,24.46,881.18,1162.66
5.601568222045898,-3208.0,-136.0,14248.0,-50.0,148.0,-175.0,24.46,881.14,1162.99
5.818337678909302,-3076.0,-36.0,14232.0,-34.0,143.0,-197.0,24.46,881.17,1162.72
6.017894268035889,-3156.0,-44.0,14168.0,-58.0,176.0,-182.0,24.45,881.15,1162.9
6.2349371910095215,-3276.0,-16.0,14276.0,-46.0,143.0,-169.0,24.46,881.17,1162.76
6.4362568855285645,-3192.0,-140.0,14212.0,-34.0,154.0,-181.0,24.46,881.17,1162.67
6.638576507568359,-3296.0,-64.0,14284.0,-27.0,153.0,-170.0,24.46,881.18,1162.62
6.853984832763672,-3188.0,-108.0,14120.0,-50.0,143.0,-185.0,24.46,881.18,1162.63
7.068027019500732,-3192.0,-44.0,14308.0,-40.0,131.0,-170.0,24.45,881.17,1162.73
7.264469623565674,-3224.0,-52.0,14312.0,-9.0,156.0,-168.0,24.46,881.17,1162.75
7.477145195007324,-3180.0,-8.0,14316.0,-60.0,145.0,-175.0,24.45,881.18,1162.65
7.677065372467041,-3060.0,-104.0,14160.0,-49.0,160.0,-168.0,24.45,881.2,1162.47
7.894977807998657,-3212.0,-208.0,14252.0,-58.0,155.0,-161.0,24.45,881.17,1162.7
8.09656834602356,-3216.0,-92.0,14356.0,-38.0,163.0,-150.0,24.45,881.18,1162.62
8.298396825790405,-3120.0,-16.0,14232.0,-71.0,140.0,-201.0,24.45,881.19,1162.54
8.517468929290771,-3360.0,-32.0,14236.0,-58.0,149.0,-171.0,24.46,881.17,1162.64
8.719732284545898,-3044.0,-148.0,14284.0,-39.0,128.0,-172.0,24.46,881.18,1162.58
8.921810865402222,-3172.0,-88.0,14252.0,-73.0,138.0,-158.0,24.46,881.16,1162.76
9.141587495803833,-3240.0,-172.0,14252.0,-76.0,45.0,-179.0,24.46,881.2,1162.47
9.345652103424072,-2816.0,-104.0,14200.0,-22.0,-1576.0,-152.0,24.46,881.16,1162.78
9.550131559371948,-1252.0,-148.0,15200.0,-81.0,-5245.0,85.0,24.46,881.17,1162.63
