time_s,ax,ay,az,gx,gy,gz,temperature_c,pressure_hpa,altitude_m
0.5162568092346191,-230.0,56.0,7784.0,-162.0,140.0,-7.0,26.39,898.18,1005.36
0.5519447326660156,-230.0,56.0,7784.0,-162.0,140.0,-7.0,26.39,898.18,1005.36
0.7492082118988037,-210.0,96.0,7782.0,-168.0,139.0,-11.0,26.4,898.17,1005.47
0.7826592922210693,-210.0,96.0,7782.0,-168.0,139.0,-11.0,26.4,898.17,1005.47
0.9668946266174316,-240.0,106.0,7790.0,-161.0,136.0,-7.0,26.41,898.17,1005.45
0.9920375347137451,-240.0,106.0,7790.0,-161.0,136.0,-7.0,26.41,898.17,1005.45
1.1908328533172607,-218.0,100.0,7744.0,-166.0,130.0,-14.0,26.42,898.17,1005.5
1.219085931777954,-218.0,100.0,7744.0,-166.0,130.0,-14.0,26.42,898.17,1005.5
1.3981647491455078,-192.0,106.0,7788.0,-160.0,129.0,-5.0,26.42,898.17,1005.44
1.447758674621582,-192.0,106.0,7788.0,-160.0,129.0,-5.0,26.42,898.17,1005.44
1.6230969429016113,-200.0,106.0,7788.0,-174.0,134.0,-13.0,26.42,898.17,1005.5
1.659045934677124,-200.0,106.0,7788.0,-174.0,134.0,-13.0,26.42,898.17,1005.5
1.8546667098999023,-196.0,62.0,7722.0,-163.0,137.0,-7.0,26.43,898.16,1005.51
1.8828601837158203,-196.0,62.0,7722.0,-163.0,137.0,-7.0,26.43,898.16,1005.51
2.0670669078826904,-276.0,64.0,7848.0,-162.0,143.0,-1.0,26.43,898.16,1005.59
2.1031970977783203,-276.0,64.0,7848.0,-162.0,143.0,-1.0,26.43,898.16,1005.59
2.2915451526641846,-218.0,76.0,7856.0,-155.0,135.0,-9.0,26.43,898.16,1005.52
2.31927227973938,-218.0,76.0,7856.0,-155.0,135.0,-9.0,26.43,898.16,1005.52
2.500408887863159,-212.0,100.0,7774.0,-156.0,128.0,-9.0,26.43,898.16,1005.5
2.5478639602661133,-212.0,100.0,7774.0,-156.0,128.0,-9.0,26.43,898.16,1005.5
2.7293972969055176,-198.0,96.0,7754.0,-167.0,135.0,-1.0,26.43,898.17,1005.41
2.7599916458129883,-198.0,96.0,7754.0,-167.0,135.0,-1.0,26.43,898.17,1005.41
2.941162586212158,-208.0,74.0,7746.0,-164.0,149.0,-3.0,26.43,898.18,1005.4
2.98876690864563,-208.0,74.0,7746.0,-164.0,149.0,-3.0,26.43,898.18,1005.4
3.1620028018951416,-214.0,116.0,7766.0,-166.0,143.0,-13.0,26.44,898.17,1005.5
3.1982808113098145,-214.0,116.0,7766.0,-166.0,143.0,-13.0,26.44,898.17,1005.5
3.3941690921783447,-204.0,94.0,7766.0,-166.0,140.0,-20.0,26.44,898.17,1005.47
3.4249775409698486,-204.0,94.0,7766.0,-166.0,140.0,-20.0,26.44,898.17,1005.47
3.60343861579895,-240.0,70.0,7760.0,-163.0,137.0,-12.0,26.44,898.18,1005.38
3.6495609283447266,-240.0,70.0,7760.0,-163.0,137.0,-12.0,26.44,898.18,1005.38
3.8298821449279785,-194.0,92.0,7728.0,-166.0,131.0,-6.0,26.44,898.16,1005.51
3.8704710006713867,-194.0,92.0,7728.0,-166.0,131.0,-6.0,26.44,898.16,1005.51
4.0548083782196045,-250.0,96.0,7814.0,-163.0,142.0,-3.0,26.44,898.16,1005.54
4.089236259460449,-250.0,96.0,7814.0,-163.0,142.0,-3.0,26.44,898.16,1005.54
4.272347450256348,-202.0,72.0,7748.0,-166.0,132.0,-17.0,26.44,898.16,1005.51
4.298980236053467,-202.0,72.0,7748.0,-166.0,132.0,-17.0,26.44,898.16,1005.51
4.494507551193237,-228.0,96.0,7784.0,-167.0,132.0,-9.0,26.44,898.16,1005.53
4.527974367141724,-228.0,96.0,7784.0,-167.0,132.0,-9.0,26.44,898.16,1005.53
4.715747117996216,-228.0,70.0,7718.0,-169.0,130.0,-14.0,26.44,898.15,1005.6
4.751331806182861,-228.0,70.0,7718.0,-169.0,130.0,-14.0,26.44,898.15,1005.6
4.931616544723511,-186.0,88.0,7746.0,-159.0,136.0,-7.0,26.44,898.16,1005.59
4.968703031539917,-186.0,88.0,7746.0,-159.0,136.0,-7.0,26.44,898.16,1005.59
5.161394357681274,-212.0,96.0,7742.0,-164.0,134.0,-8.0,26.44,898.16,1005.56
5.186661720275879,-212.0,96.0,7742.0,-164.0,134.0,-8.0,26.44,898.16,1005.56
5.37839412689209,-212.0,90.0,7784.0,-159.0,140.0,-9.0,26.45,898.16,1005.51
5.418489456176758,-212.0,90.0,7784.0,-159.0,140.0,-9.0,26.45,898.16,1005.51
5.606987476348877,-182.0,84.0,7628.0,-167.0,130.0,-16.0,26.45,898.16,1005.57
5.620888710021973,-182.0,84.0,7628.0,-167.0,130.0,-16.0,26.45,898.16,1005.57
5.820303440093994,-192.0,112.0,7674.0,-166.0,141.0,-10.0,26.44,898.16,1005.52
5.856256008148193,-192.0,112.0,7674.0,-166.0,141.0,-10.0,26.44,898.16,1005.52
6.045513391494751,-222.0,52.0,7760.0,-164.0,134.0,-9.0,26.44,898.15,1005.6
6.077032089233398,-222.0,52.0,7760.0,-164.0,134.0,-9.0,26.44,898.15,1005.6
6.258324146270752,-208.0,64.0,7788.0,-160.0,141.0,-8.0,26.44,898.16,1005.54
6.2941083908081055,-208.0,64.0,7788.0,-160.0,141.0,-8.0,26.44,898.16,1005.54
6.479848146438599,-198.0,94.0,7746.0,-156.0,135.0,-10.0,26.45,898.16,1005.52
6.518193006515503,-198.0,94.0,7746.0,-156.0,135.0,-10.0,26.45,898.16,1005.52
6.705694675445557,-216.0,58.0,7748.0,-167.0,131.0,-20.0,26.45,898.16,1005.53
6.738208532333374,-216.0,58.0,7748.0,-167.0,131.0,-20.0,26.45,898.16,1005.53
6.91949987411499,-180.0,50.0,7748.0,-160.0,143.0,-6.0,26.45,898.16,1005.53
6.952788591384888,-180.0,50.0,7748.0,-160.0,143.0,-6.0,26.45,898.16,1005.53
7.146325349807739,-228.0,82.0,7752.0,-168.0,132.0,-7.0,26.44,898.16,1005.58
7.181945085525513,-228.0,82.0,7752.0,-168.0,132.0,-7.0,26.44,898.16,1005.58
7.356635808944702,-234.0,114.0,7764.0,-160.0,139.0,-17.0,26.44,898.16,1005.55
