time_s,ax,ay,az,gx,gy,gz,temperature_c,pressure_hpa,altitude_m
0.2005615234375,5332.0,8352.0,-15260.0,-100.0,43.0,-364.0,25.95,893.55,1047.97
1.0232322216033936,5144.0,8532.0,-15244.0,-41.0,250.0,-312.0,25.95,893.55,1048.0
1.7890205383300781,5324.0,8500.0,-15284.0,-46.0,200.0,-319.0,25.96,893.56,1047.86
2.6353142261505127,5360.0,8456.0,-15436.0,-103.0,38.0,-223.0,25.96,893.56,1047.87
3.4211466312408447,5252.0,8556.0,-15260.0,-17.0,175.0,6.0,25.95,893.53,1048.09
4.225434064865112,5232.0,8424.0,-15448.0,-141.0,120.0,-403.0,25.96,893.57,1047.81
5.07133936882019,5216.0,8548.0,-15164.0,-41.0,69.0,72.0,25.96,893.56,1047.84
5.867205858230591,5412.0,8608.0,-15248.0,-45.0,194.0,-344.0,25.96,893.56,1047.86
6.684013605117798,5272.0,8424.0,-15272.0,-100.0,18.0,-70.0,25.96,893.56,1047.89
7.504225730895996,5300.0,8448.0,-15208.0,-70.0,251.0,-333.0,25.96,893.54,1048.08
8.343846797943115,5260.0,8560.0,-15196.0,-52.0,42.0,72.0,25.96,893.54,1048.04
9.186011791229248,5332.0,8384.0,-15312.0,-60.0,162.0,-404.0,25.96,893.54,1048.01
9.97269892692566,5244.0,8592.0,-15332.0,-43.0,63.0,75.0,25.96,893.56,1047.88
10.77297043800354,5388.0,8516.0,-15304.0,-41.0,235.0,-335.0,25.96,893.54,1048.08
11.579969882965088,5296.0,8632.0,-15268.0,-96.0,14.0,-55.0,25.96,893.56,1047.87
12.388408422470093,5380.0,8496.0,-15332.0,-9.0,226.0,-223.0,25.96,893.55,1047.93
13.218663930892944,5248.0,8376.0,-15328.0,-102.0,58.0,-149.0,25.95,893.55,1047.99
14.04343867301941,5324.0,8512.0,-15356.0,-22.0,251.0,-195.0,25.96,893.52,1048.19
14.884622573852539,5332.0,8484.0,-15436.0,-109.0,36.0,-231.0,25.96,893.54,1048.04
15.72285509109497,5360.0,8428.0,-15216.0,6.0,248.0,-142.0,25.96,893.59,1047.61
16.571582078933716,5292.0,8436.0,-15348.0,-91.0,32.0,-174.0,25.96,893.57,1047.74
17.41148543357849,5388.0,8588.0,-15164.0,-20.0,254.0,-192.0,25.96,893.55,1047.96
18.285699367523193,5276.0,8472.0,-15348.0,-91.0,34.0,-213.0,25.95,893.55,1047.97
19.163235902786255,5380.0,8592.0,-15308.0,-7.0,261.0,-135.0,25.96,893.55,1047.94
